id,x,y
144,1.018665,-0.616412
145,8.214744,-0.041249
146,16.135410,0.609266
147,0.558626,-0.070739
148,7.749070,-0.613305
149,15.967930,0.561141
150,-0.119285,0.316754
151,8.318641,0.178760
152,16.487819,-0.051137
153,-0.373243,-0.527614
154,8.417093,-0.162916
155,15.860063,0.375429
156,-0.355084,0.796609
157,8.299782,-0.237093
158,15.714876,0.486760
159,-0.532743,-0.288471
160,8.002812,0.091262
161,16.006836,0.174239
162,-0.163743,-0.054577
163,8.569315,0.290666
164,15.797639,0.771588
165,-0.895864,0.037955
166,8.300685,0.437576
167,16.050276,-0.173119
168,0.263571,-0.087055
169,8.213621,-1.285475
170,16.171678,-0.355797
171,0.423419,0.336513
172,8.327974,-0.182035
173,16.195354,-0.153988
174,0.096717,-0.060969
175,7.607894,0.889665
176,16.325702,-0.925487
177,0.402132,-0.627380
178,7.895563,-0.261831
179,15.759461,0.108357
180,-0.146450,-0.651800
181,7.997332,0.164191
182,16.796309,-0.186495
183,-0.535170,-0.171177
184,8.293922,-0.397716
185,15.675530,0.249373
186,-0.005007,0.099915
187,7.716980,-0.371759
188,15.854192,-0.069289
189,-0.150407,0.194046
190,8.246237,0.246637
191,16.215672,-0.398605
192,-0.503728,0.360772
193,8.005695,0.054838
194,15.478081,-0.095156
195,-0.286940,-0.388943
196,7.716593,-0.672383
197,16.038392,0.524670
198,-0.318507,0.042624
199,7.508550,0.302240
200,16.838639,-0.555120
201,-0.102415,0.640751
202,8.165509,0.051712
203,15.080475,-0.067671
204,0.413141,0.646219
205,8.288571,-0.260896
206,15.691004,-0.818621
207,-0.484010,0.505053
208,7.948460,-0.602485
209,16.593627,-0.752748
210,0.567310,-0.145361
211,8.152731,0.305788
212,16.118053,0.572204
213,0.007168,-0.147081
214,7.702169,-0.650193
215,15.687357,0.441997
216,0.371426,0.626233
217,9.227532,0.321010
218,16.225481,-0.591723
219,-0.109254,0.988116
220,8.238361,-0.062097
221,16.139276,-0.853062
222,-0.375421,-0.589253
223,7.037899,0.345977
224,16.434543,-0.079481
225,0.155860,-0.453263
226,8.203805,0.343404
227,16.690657,0.702298
228,0.219384,-0.057175
229,7.628244,-0.272528
230,16.277620,0.254502
231,0.008392,0.748795
232,8.291903,0.007354
233,15.913992,0.034822
234,-0.427126,-0.440907
235,8.156396,-0.263195
236,15.878018,0.549254
237,-0.086873,0.591069
238,7.996216,0.682602
239,16.208949,-0.791251
240,0.228057,0.027226
241,0.398162,0.213419
242,0.720480,0.042327
243,0.909985,-0.129572
244,1.121628,0.184529
245,1.390281,0.148359
246,1.742391,0.278967
247,2.052213,0.284112
248,2.193985,0.000223
249,2.547849,-0.113249
250,2.800606,-0.085909
251,3.072345,-0.299493
252,3.321796,-0.030269
253,3.560960,-0.060358
254,3.923284,0.110048
255,4.131793,0.088601
256,4.375512,-0.177652
257,4.567442,-0.133427
258,4.952966,0.228998
259,5.265884,0.006576
260,5.564070,-0.023051
261,5.800252,-0.054621
262,6.048926,0.292555
263,6.227734,-0.197812
264,6.557340,0.018574
265,6.771884,-0.297888
266,7.044499,-0.044478
267,7.314384,0.216747
268,7.616886,0.140298
269,7.946249,0.149264
270,8.131874,0.147461
271,8.428071,0.089247
272,8.692602,-0.055801
273,8.959186,0.080240
274,9.287424,0.169484
275,9.535920,0.160500
276,9.796399,0.063277
277,9.969890,-0.141250
278,10.308271,0.224365
279,10.542183,-0.208758
280,10.866595,-0.009274
281,11.060087,-0.272767
282,11.335390,0.146849
283,11.584520,-0.086894
284,11.898035,-0.288155
285,12.134766,0.267676
286,12.438090,-0.058846
287,12.704448,0.062996
288,12.875111,-0.175375
289,13.277205,-0.138558
290,13.381644,0.198407
291,13.737973,-0.079075
292,14.002304,0.142035
293,14.200377,0.091840
294,14.576021,0.189002
295,14.753952,0.065800
296,15.013089,0.036627
297,15.267806,0.173861
298,15.673344,-0.102214
299,15.811130,0.278273
